model,data_rep,window_size,precision_fault,recall_fault,f1_fault,macro_precision,macro_recall,macro_f1,accuracy,model_size_mb,inference_us,file
Variance-based Thresholding,RAW,5,99.19,8.11,14.99,86.5,54.04,49.95,74.38,0.0,,variance_th_w5.txt
Variance-based Thresholding,RAW,10,99.27,10.73,19.36,82.99,55.34,49.69,67.98,0.0,,variance_th_w10.txt
Variance-based Thresholding,RAW,15,99.6,12.64,22.44,79.95,56.3,48.83,62.44,0.0,,variance_th_w15.txt
Variance-based Thresholding,RAW,20,99.8,13.29,23.46,77.02,56.63,46.89,57.23,0.0,,variance_th_w20.txt
Adaptive Variance Thresholding,RAW,5,78.1,48.08,59.52,80.32,71.44,73.88,81.78,0.0,,adapt_variance_w5.txt
Adaptive Variance Thresholding,RAW,10,55.54,70.6,62.17,68.09,69.51,68.1,69.21,0.0,,adapt_variance_w10.txt
Adaptive Variance Thresholding,RAW,15,57.09,73.49,64.26,65.8,65.94,64.87,64.88,0.0,,adapt_variance_w15.txt
Adaptive Variance Thresholding,RAW,20,51.68,92.52,66.32,60.12,54.19,46.05,53.66,0.0,,adapt_variance_w20.txt
CART,HFE,5,70.0,42.0,52.0,78.0,69.0,71.0,84.0,0.0102,,dt_metrics_w5_binary_full.txt
CART,HFE,10,62.0,42.0,50.0,74.0,68.0,70.0,83.0,0.0157,,dt_metrics_w10_binary_full.txt
CART,HFE,15,73.0,42.0,54.0,80.0,69.0,72.0,85.0,0.0164,,dt_metrics_w15_binary_full.txt
CART,HFE,20,70.0,33.0,45.0,77.0,64.0,67.0,83.0,0.0384,,dt_metrics_w20_binary_full.txt
XGBoost,HFE,5,76.0,70.0,72.0,84.0,82.0,83.0,89.0,0.4246,,xgb_metrics_w5_binary_full.txt
XGBoost,HFE,10,93.0,59.0,72.0,92.0,79.0,83.0,91.0,0.4196,,xgb_metrics_w10_binary_full.txt
XGBoost,HFE,15,77.0,65.0,70.0,84.0,80.0,82.0,89.0,0.3339,,xgb_metrics_w15_binary_full.txt
XGBoost,HFE,20,76.0,61.0,68.0,83.0,78.0,80.0,88.0,0.226,,xgb_metrics_w20_binary_full.txt
Random Forest,HFE,5,71.0,54.0,61.0,80.0,74.0,76.0,86.0,0.6743,,rf_metrics_w5_binary_full.txt
Random Forest,HFE,10,61.0,49.0,54.0,74.0,70.0,72.0,83.0,0.3997,,rf_metrics_w10_binary_full.txt
Random Forest,HFE,15,58.0,54.0,56.0,73.0,72.0,72.0,82.0,0.7073,,rf_metrics_w15_binary_full.txt
Random Forest,HFE,20,57.0,56.0,56.0,73.0,72.0,73.0,82.0,0.8478,,rf_metrics_w20_binary_full.txt
Wavelet Thresholds,RSR,5,28.88,97.03,44.51,57.97,52.37,29.34,32.6,0.0,,wavelet_variance_w5.txt
Wavelet Thresholds,RSR,10,37.48,96.79,54.03,61.02,53.3,35.81,40.98,0.0,,wavelet_variance_w10.txt
Wavelet Thresholds,RSR,15,44.5,97.21,61.05,62.48,52.94,38.35,46.71,0.0,,wavelet_variance_w15.txt
Wavelet Thresholds,RSR,20,49.46,99.83,66.15,66.0,50.31,33.86,49.62,0.0,,wavelet_variance_w20.txt
LSTM,RSR,5,94.51,72.31,81.93,92.35,85.34,88.02,91.12,0.6922,,classification_report_bin_LSTM_W5.txt
LSTM,RSR,10,98.91,82.51,89.97,94.99,91.0,92.53,93.41,0.4221,,classification_report_bin_LSTM_W10.txt
LSTM,RSR,15,99.06,88.67,93.58,95.58,94.02,94.59,94.77,0.6922,,classification_report_bin_LSTM_W15.txt
LSTM,RSR,20,99.19,91.51,95.19,95.75,95.39,95.43,95.44,0.4221,,classification_report_bin_LSTM_W20.txt
WCNN,RSR,5,98.43,60.06,74.6,92.51,79.84,83.63,88.61,,,w5_classification_wp.txt
WCNN,RSR,10,99.28,75.47,85.76,93.6,87.58,89.6,91.02,,,w10_classification_wp.txt
WCNN,RSR,15,99.28,85.63,91.95,94.73,92.58,93.29,93.56,,,w15_classification_wp.txt
WCNN,RSR,20,99.43,89.58,94.25,95.09,94.54,94.59,94.61,,,w20_classification_wp.txt
